dates,confirmed,deaths,recovered,existing,n_confirmed,n_deaths,n_recovered,n_existing
2020-04-01,794,20,13,761,149,3,3,143
2020-04-02,897,22,19,856,103,2,6,95
2020-04-03,1072,27,23,1022,175,5,4,166
2020-04-04,1225,32,25,1168,153,5,2,146
2020-04-05,1251,37,28,1186,26,5,3,18
2020-04-06,1319,38,28,1253,68,1,0,67
2020-04-07,1462,45,28,1389,143,7,0,136
2020-04-08,1668,52,35,1581,206,7,7,192
2020-04-09,1892,57,45,1790,224,5,10,209
2020-04-10,2227,70,61,2096,335,13,16,306
2020-04-11,2511,74,79,2358,284,4,18,262
2020-04-12,2801,84,89,2628,290,10,10,270
2020-04-13,3104,93,97,2914,303,9,8,286
2020-04-14,3420,99,119,3202,316,6,22,288
2020-04-15,3764,108,143,3513,344,9,24,311
2020-04-16,4161,116,186,3859,397,8,43,346
2020-04-17,4662,125,246,4291,501,9,60,432
2020-04-18,5106,133,275,4698,444,8,29,407
2020-04-19,5449,141,347,4961,343,8,72,263
2020-04-20,5710,151,359,5200,261,10,12,239
2020-04-21,6125,161,367,5597,415,10,8,397
2020-04-22,6592,174,424,5994,467,13,57,397
2020-04-23,7170,187,504,6479,578,13,80,485
2020-04-24,7647,193,601,6853,477,6,97,374
2020-04-25,8125,201,782,7142,478,8,181,289
2020-04-26,8617,209,841,7567,492,8,59,425
2020-04-27,9009,220,864,7925,392,11,23,358
2020-04-28,9410,239,992,8179,401,19,128,254
2020-04-29,9866,250,1103,8513,456,11,111,334
2020-04-30,10406,261,1238,8907,540,11,135,394
2020-05-01,10861,272,1413,9176,455,11,175,269
2020-05-02,11411,279,1498,9634,550,7,85,458
2020-05-03,11913,288,1547,10078,502,9,49,444
2020-05-04,12331,303,1619,10409,418,15,72,331
2020-05-05,12697,316,1875,10506,366,13,256,97
2020-05-06,13184,327,2097,10760,487,11,222,254
2020-05-07,13691,340,2396,10955,507,13,299,195
2020-05-08,14195,361,2706,11128,504,21,310,173
2020-05-09,14710,376,2909,11425,515,15,203,297
2020-05-10,15232,391,3060,11781,522,15,151,356
2020-05-11,15648,408,3288,11952,416,17,228,171
2020-05-12,16023,425,3373,12225,375,17,85,273
2020-05-13,16425,439,3716,12270,402,14,343,45
2020-05-14,16847,456,4143,12248,422,17,427,-22
2020-05-15,17330,476,4473,12381,483,20,330,133
2020-05-16,17858,497,4906,12455,528,21,433,74
2020-05-17,18291,514,5116,12661,433,17,210,206
2020-05-18,18616,535,5276,12805,325,21,160,144
2020-05-19,18876,548,5632,12696,260,13,356,-109
2020-05-20,19230,564,5955,12711,354,16,323,15
2020-05-21,19706,579,6227,12900,476,15,272,189
2020-05-22,20148,588,6585,12975,442,9,358,75
2020-05-23,20580,605,6929,13046,432,17,344,71
2020-05-24,20986,617,7108,13261,406,12,179,215
2020-05-25,21245,623,7234,13388,259,6,126,127
2020-05-26,21584,644,7575,13365,339,21,341,-23
2020-05-27,21905,658,7995,13252,321,14,420,-113
2020-05-28,22382,669,8439,13274,477,11,444,22
2020-05-29,22811,679,8934,13198,429,10,495,-76
2020-05-30,23204,696,9311,13197,393,17,377,-1
2020-05-31,23672,708,9538,13426,468,12,227,229
2020-06-01,24012,718,9690,13604,340,10,152,178
2020-06-02,24340,727,10078,13535,328,9,388,-69
2020-06-03,24823,735,10440,13648,483,8,362,113
2020-06-04,25411,747,11042,13622,588,12,602,-26
2020-06-05,25964,762,11372,13830,553,15,330,208
2020-06-06,26514,777,11812,13925,550,15,440,95
2020-06-07,26999,788,12054,14157,485,11,242,232
2020-06-08,27462,797,12195,14470,463,9,141,313
2020-06-09,27856,810,12412,14634,394,13,217,164
2020-06-10,28381,833,12769,14779,525,23,357,145
2020-06-11,29070,854,13141,15075,689,21,372,296
2020-06-12,29753,870,13567,15316,683,16,426,241
2020-06-13,30506,880,13976,15650,753,10,409,334
2020-06-14,31154,889,14082,16183,648,9,106,533
2020-06-15,31810,901,14253,16656,656,12,171,473
2020-06-16,32476,912,14528,17036,666,11,275,380
2020-06-17,33234,943,14943,17348,758,31,415,312
2020-06-18,34063,966,15447,17650,829,23,504,302
2020-06-19,34984,985,16033,17966,921,19,586,316
2020-06-20,35825,994,16406,18425,841,9,373,459
2020-06-21,36560,1002,16509,19049,735,8,103,624
2020-06-22,37241,1012,16642,19587,681,10,133,538
2020-06-23,38074,1035,16956,20083,833,23,314,496
2020-06-24,39014,1051,17409,20554,940,16,453,471
2020-06-25,40008,1067,17758,21183,994,16,349,629
2020-06-26,41117,1086,18299,21732,1109,19,541,549
2020-06-27,42065,1110,18701,22254,948,24,402,522
2020-06-28,42982,1129,18934,22919,917,19,233,665
2020-06-29,43628,1147,19027,23454,646,18,93,535
2020-06-30,44334,1159,19115,24060,706,12,88,606
2020-07-01,44998,1173,19548,24277,664,14,433,217
2020-07-02,45887,1185,20053,24649,889,12,505,372
2020-07-03,46763,1212,20558,24993,876,27,505,344
2020-07-04,47677,1227,21155,25295,914,15,597,302
2020-07-05,48500,1249,21376,25875,823,22,221,580
2020-07-06,49043,1262,21703,26078,543,13,327,203
2020-07-07,49607,1283,22193,26131,564,21,490,53
2020-07-08,50414,1306,23119,25989,807,23,926,-142
2020-07-09,51224,1327,23784,26113,810,21,665,124
2020-07-10,52043,1345,24800,25898,819,18,1016,-215
2020-07-11,52843,1372,25661,25810,800,27,861,-88
2020-07-12,53521,1383,26118,26020,678,11,457,210
2020-07-13,54133,1398,26503,26232,612,15,385,212
2020-07-14,54771,1412,27154,26205,638,14,651,-27
2020-07-15,55607,1427,28131,26049,836,15,977,-156
2020-07-16,56455,1445,28931,26079,848,18,800,30
2020-07-17,57264,1456,29769,26039,809,11,838,-40
2020-07-18,58111,1477,30525,26109,847,21,756,70
2020-07-19,58842,1485,30879,26478,731,8,354,369
2020-07-20,59493,1498,31439,26556,651,13,560,78
2020-07-21,60166,1518,32199,26449,673,20,760,-107
2020-07-22,60995,1534,33172,26289,829,16,973,-160
2020-07-23,61851,1551,34000,26300,856,17,828,11
2020-07-24,62823,1571,34886,26366,972,20,886,66
2020-07-25,63929,1590,35497,26842,1106,19,611,476
2020-07-26,64849,1605,35807,27437,920,15,310,595
2020-07-27,65656,1616,36122,27918,807,11,315,481
2020-07-28,66575,1629,36744,28202,919,13,622,284
2020-07-29,67597,1650,37394,28553,1022,21,650,351
2020-07-30,68794,1673,38154,28967,1197,23,760,414
2020-07-31,69884,1693,38752,29439,1090,20,598,472
2020-08-01,71056,1709,39308,30039,1172,16,556,600
2020-08-02,72168,1725,39543,30900,1112,16,235,861
2020-08-03,73158,1738,39876,31544,990,13,333,644
2020-08-04,74219,1764,40613,31842,1061,26,737,298
2020-08-05,75490,1788,41527,32175,1271,24,914,333
2020-08-06,76808,1819,42524,32465,1318,31,997,290
2020-08-07,78261,1852,43055,33354,1453,33,531,889
2020-08-08,79750,1879,43655,34216,1489,27,600,862
2020-08-09,80949,1897,43972,35080,1199,18,317,864
2020-08-10,81957,1922,44359,35676,1008,25,387,596
2020-08-11,83115,1951,44934,36230,1158,29,575,554
2020-08-12,84548,1970,45686,36892,1433,19,752,662
2020-08-13,86140,1992,46216,37932,1592,22,530,1040
2020-08-14,87872,2011,46797,39064,1732,19,581,1132
2020-08-15,89719,2044,47430,40245,1847,33,633,1181
2020-08-16,91356,2068,47822,41466,1637,24,392,1221
2020-08-17,92820,2089,48164,42567,1464,21,342,1101
2020-08-18,94436,2116,48925,43395,1616,27,761,828
2020-08-19,96403,2144,49737,44522,1967,28,812,1127
2020-08-20,98537,2184,50441,45912,2134,40,704,1390
2020-08-21,100643,2207,51078,47358,2106,23,637,1446
2020-08-22,102971,2244,51735,48992,2328,37,657,1634
2020-08-23,104958,2271,52235,50452,1987,27,500,1460
2020-08-24,106757,2293,52524,51940,1799,22,289,1488
2020-08-25,108415,2318,52870,53227,1658,25,346,1287
2020-08-26,110085,2354,53454,54277,1670,36,584,1050
2020-08-27,112059,2403,54217,55439,1974,49,763,1162
2020-08-28,114497,2451,55083,56963,2438,48,866,1524
2020-08-29,116978,2492,56138,58348,2481,41,1055,1385
2020-08-30,119074,2527,56734,59813,2096,35,596,1465
2020-08-31,121215,2557,57114,61544,2141,30,380,1731
